Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
Female,19,2,61,no,yes,3,3,Sometimes,no,1,yes,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,17,2,65,yes,yes,3,2,Sometimes,no,2,yes,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,30,2,88,no,yes,3,3,Sometimes,no,1,no,2,0,no,Automobile,Overweight_Level_I
Female,32,2,74,yes,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Automobile,Overweight_Level_I
Male,18,2,80,yes,yes,2,3,Sometimes,no,2,no,0,0,no,Public_Transportation,Overweight_Level_I
Male,19,2,88,yes,yes,2,4,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,19,2,80,yes,yes,2,1,Sometimes,no,3,no,2,2,Frequently,Public_Transportation,Overweight_Level_I
Female,18,2,68,yes,yes,2,1,Sometimes,no,1,no,0,2,no,Public_Transportation,Overweight_Level_I
Female,18,2,77,yes,yes,3,3,Sometimes,no,2,no,1,1,Frequently,Public_Transportation,Overweight_Level_I
Female,20,2,64,no,yes,3,3,Sometimes,no,2,yes,0,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,28,2,87,no,yes,3,3,Sometimes,no,1,no,2,0,no,Automobile,Overweight_Level_I
Male,27,2,87,no,yes,3,2,Sometimes,no,2,no,2,0,no,Automobile,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,22,2,70,no,yes,2,1,no,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,27,2,83,no,yes,1,4,Sometimes,no,2,no,0,1,no,Automobile,Overweight_Level_I
Male,22,2,75,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,69,yes,yes,2,4,no,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,69,yes,yes,1,4,no,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,87,yes,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,19,2,87,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,42,2,76,yes,yes,3,3,Sometimes,no,2,no,0,0,Sometimes,Automobile,Overweight_Level_I
Male,22,2,89,yes,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,90,yes,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,2,75,yes,yes,2,3,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,2,76,yes,yes,2,3,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,19,2,80,yes,yes,2,2,Sometimes,no,2,no,1,1,Frequently,Public_Transportation,Overweight_Level_I
Male,23,2,75,yes,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,33,2,75,yes,yes,3,1,Sometimes,no,1,no,0,0,Sometimes,Automobile,Overweight_Level_I
Female,33,2,75,yes,yes,2,2,Sometimes,no,1,no,0,0,Sometimes,Automobile,Overweight_Level_I
Female,22,2,68,yes,yes,2,4,Sometimes,no,3,no,2,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,22,2,68,yes,yes,2,4,Sometimes,no,3,no,1,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,37,2,63,yes,yes,2,1,Sometimes,no,2,no,0,0,Sometimes,Automobile,Overweight_Level_I
Female,40,2,63,yes,yes,3,3,Sometimes,no,2,no,0,0,Sometimes,Automobile,Overweight_Level_I
Female,39,2,63,yes,yes,3,3,Sometimes,no,3,no,2,0,Sometimes,Automobile,Overweight_Level_I
Female,22,2,79,yes,yes,2,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,79,yes,yes,3,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,29,2,70,yes,yes,2,3,Sometimes,no,2,no,2,0,Sometimes,Automobile,Overweight_Level_I
Female,31,2,72,yes,yes,3,3,Sometimes,no,2,no,1,1,Sometimes,Automobile,Overweight_Level_I
Male,23,2,79,yes,yes,3,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,26,2,80,yes,yes,2,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,yes,3,3,Sometimes,no,3,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,yes,3,3,Sometimes,no,3,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,yes,2,3,Sometimes,no,3,no,2,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,19,2,85,yes,yes,3,3,Sometimes,no,2,no,2,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,22,2,75,yes,yes,2,4,Sometimes,no,2,no,2,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,22,2,68,yes,yes,2,3,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,68,yes,yes,2,4,no,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,78,yes,yes,2,2,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,78,yes,yes,3,2,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,19,2,87,yes,yes,2,4,Sometimes,no,2,no,2,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,22,2,91,yes,yes,2,4,Sometimes,no,3,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,22,2,67,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,78,yes,yes,3,1,Sometimes,no,2,no,3,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,78,yes,yes,3,1,Sometimes,no,2,no,3,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,19,2,80,yes,yes,1,1,Sometimes,no,3,no,3,1,no,Public_Transportation,Overweight_Level_I
Male,21,2,75,yes,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,75,yes,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,28,2,74,yes,yes,2,3,Sometimes,no,2,no,2,0,Sometimes,Automobile,Overweight_Level_I
Male,29,2,82,yes,yes,1,4,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,26,2,80,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,2,75,yes,yes,3,3,Sometimes,no,3,no,1,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,yes,3,3,Sometimes,no,3,no,2,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,22,2,65,no,yes,2,3,Sometimes,no,1,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,30,2,74,yes,yes,2,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,Overweight_Level_I
Female,31,2,69,yes,yes,2,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,Overweight_Level_I
Male,23,2,75,yes,yes,3,3,Sometimes,no,1,no,0,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,18,1,56,no,yes,2,3,Sometimes,no,1,yes,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Female,18,1,55,no,yes,2,3,Sometimes,no,1,yes,0,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,17,2,65,yes,yes,3,1,Sometimes,no,2,yes,1,1,no,Public_Transportation,Overweight_Level_I
Female,22,2,64,no,yes,3,2,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,27,2,63,no,yes,2,2,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,35,2,74,yes,no,3,3,Sometimes,no,2,no,1,0,Sometimes,Automobile,Overweight_Level_I
Male,24,2,86,yes,yes,2,2,Sometimes,no,2,no,1,1,Sometimes,Automobile,Overweight_Level_I
Male,23,2,87,yes,yes,2,1,Sometimes,no,1,no,1,1,Sometimes,Automobile,Overweight_Level_I
Female,40,2,62,yes,yes,2,3,Sometimes,no,3,no,1,0,Sometimes,Automobile,Overweight_Level_I
Female,16,2,68,yes,yes,3,1,Sometimes,no,2,no,1,2,no,Public_Transportation,Overweight_Level_I
Female,17,2,67,yes,yes,1,1,Sometimes,no,1,yes,0,0,no,Public_Transportation,Overweight_Level_I
Female,16,2,65,yes,yes,1,1,Sometimes,no,2,yes,0,1,no,Public_Transportation,Overweight_Level_I
Female,18,2,69,yes,yes,2,1,Sometimes,no,2,no,0,1,no,Public_Transportation,Overweight_Level_I
Female,19,2,70,yes,yes,2,3,Sometimes,no,2,no,1,0,no,Public_Transportation,Overweight_Level_I
Female,20,2,61,no,yes,3,3,Sometimes,no,2,yes,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,19,2,60,no,yes,3,3,Sometimes,no,1,yes,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,18,2,65,yes,yes,3,3,Sometimes,no,2,yes,0,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,33,2,88,no,yes,3,3,Sometimes,no,2,no,2,1,no,Automobile,Overweight_Level_I
Female,33,2,76,yes,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Automobile,Overweight_Level_I
Female,19,2,80,yes,yes,2,1,Sometimes,no,3,no,3,1,no,Public_Transportation,Overweight_Level_I
Female,19,2,80,yes,yes,2,1,Sometimes,no,2,no,3,1,no,Public_Transportation,Overweight_Level_I
Male,19,2,85,yes,yes,2,3,Sometimes,no,2,no,2,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,19,2,86,yes,yes,3,4,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,79,yes,yes,2,3,Sometimes,no,3,no,0,2,Frequently,Public_Transportation,Overweight_Level_I
Female,19,2,80,yes,yes,2,3,Sometimes,no,3,no,2,1,Frequently,Public_Transportation,Overweight_Level_I
Female,18,2,69,yes,yes,2,1,Sometimes,no,2,no,0,2,no,Public_Transportation,Overweight_Level_I
Female,21,2,75,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,17,2,57,no,yes,2,2,Sometimes,no,2,yes,0,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,26,2,87,no,yes,2,2,Sometimes,no,2,no,2,1,no,Automobile,Overweight_Level_I
Male,27,2,87,no,yes,3,3,Sometimes,no,1,no,2,0,no,Automobile,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,27,2,86,yes,yes,3,3,Sometimes,no,2,no,1,0,Sometimes,Automobile,Overweight_Level_I
Male,22,2,75,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,75,yes,yes,2,4,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,69,yes,yes,1,3,no,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,19,2,89,yes,yes,2,4,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,39,2,87,no,yes,3,3,Sometimes,no,1,no,3,0,Sometimes,Automobile,Overweight_Level_I
Female,40,2,81,no,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Automobile,Overweight_Level_I
Male,20,2,85,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,75,yes,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,19,2,80,yes,yes,2,1,Sometimes,no,3,no,3,1,no,Public_Transportation,Overweight_Level_I
Male,24,2,75,yes,yes,2,3,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,2,75,yes,yes,2,3,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Female,34,2,75,yes,yes,3,1,Sometimes,no,1,no,0,0,Sometimes,Automobile,Overweight_Level_I
Female,22,2,68,yes,yes,2,3,Sometimes,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,69,yes,yes,1,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,69,no,yes,2,3,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,69,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,39,2,62,yes,yes,3,3,Sometimes,no,3,no,0,1,Sometimes,Automobile,Overweight_Level_I
Female,39,2,63,yes,yes,2,3,Sometimes,no,3,no,0,1,Sometimes,Automobile,Overweight_Level_I
Female,37,2,62,yes,yes,2,3,Sometimes,no,3,no,0,1,Sometimes,Automobile,Overweight_Level_I
Female,22,2,79,yes,yes,2,1,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,22,2,78,yes,yes,2,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,22,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,30,2,69,yes,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Automobile,Overweight_Level_I
Female,31,2,72,yes,yes,2,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,Overweight_Level_I
Female,21,2,79,yes,yes,3,1,Sometimes,no,3,no,3,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,yes,3,3,Sometimes,no,3,no,3,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,yes,3,3,Sometimes,no,2,no,2,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,22,2,75,yes,yes,2,3,Sometimes,no,3,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,68,yes,yes,2,3,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,22,2,68,yes,yes,2,4,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,2,75,yes,yes,3,3,Sometimes,no,3,no,1,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,2,76,yes,yes,2,3,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,89,yes,yes,2,4,Sometimes,no,3,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,22,2,67,yes,yes,2,3,Sometimes,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,22,2,66,yes,yes,2,3,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,78,yes,yes,2,2,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,79,yes,yes,3,1,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,19,2,80,yes,yes,2,3,Sometimes,no,2,no,3,1,no,Public_Transportation,Overweight_Level_I
Male,21,2,75,yes,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,75,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,29,2,71,yes,yes,2,3,Sometimes,no,1,no,2,0,Sometimes,Automobile,Overweight_Level_I
Male,24,2,82,yes,yes,2,3,Sometimes,no,2,no,1,1,no,Public_Transportation,Overweight_Level_I
Male,26,2,83,yes,yes,2,3,Sometimes,no,2,no,1,1,no,Public_Transportation,Overweight_Level_I
Male,23,2,75,yes,yes,2,3,Sometimes,no,2,no,1,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,yes,3,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,22,2,65,no,yes,3,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,32,2,73,yes,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Automobile,Overweight_Level_I
Male,23,2,75,yes,yes,3,3,Sometimes,no,3,no,1,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,2,76,yes,yes,3,4,Sometimes,no,1,no,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Female,17,1,54,no,yes,2,2,Sometimes,no,2,yes,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Female,18,2,56,no,yes,2,2,Sometimes,no,1,yes,0,2,Sometimes,Public_Transportation,Overweight_Level_I
Female,16,2,65,yes,yes,2,1,Sometimes,no,1,yes,0,1,no,Public_Transportation,Overweight_Level_I
Female,23,2,65,no,yes,2,3,Sometimes,no,3,no,2,2,Sometimes,Public_Transportation,Overweight_Level_I
Female,35,2,74,yes,yes,3,2,Sometimes,no,2,no,0,0,Sometimes,Automobile,Overweight_Level_I
Male,23,2,90,yes,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Automobile,Overweight_Level_I
Female,39,2,63,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Automobile,Overweight_Level_I
Male,20,2,70,no,yes,2,1,no,no,3,no,1,1,Sometimes,Public_Transportation,Overweight_Level_I
Female,16,2,67,yes,yes,2,1,Sometimes,no,2,yes,1,2,no,Public_Transportation,Overweight_Level_I
Female,18,2,67,yes,yes,2,1,Sometimes,no,1,yes,1,2,no,Public_Transportation,Overweight_Level_I
Male,19,2,70,yes,yes,2,1,Sometimes,no,2,no,1,0,no,Public_Transportation,Overweight_Level_I
Female,20,2,62,no,yes,3,3,Sometimes,no,2,yes,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,20,2,64,no,yes,3,3,Sometimes,no,2,yes,0,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,17,2,65,yes,yes,3,2,Sometimes,no,2,yes,1,2,Sometimes,Public_Transportation,Overweight_Level_I
Female,17,2,65,yes,yes,3,2,Sometimes,no,2,yes,1,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,29,2,87,no,yes,2,4,Sometimes,no,1,no,2,0,no,Automobile,Overweight_Level_I
Female,32,2,74,yes,yes,3,3,Sometimes,no,1,no,1,1,Sometimes,Automobile,Overweight_Level_I
Female,32,2,74,yes,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Automobile,Overweight_Level_I
Male,18,2,80,yes,yes,2,3,Sometimes,no,2,no,0,0,Frequently,Public_Transportation,Overweight_Level_I
Male,20,2,89,yes,yes,2,4,Sometimes,no,3,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,88,yes,yes,3,4,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,19,2,79,yes,yes,2,2,Sometimes,no,3,no,1,2,no,Public_Transportation,Overweight_Level_I
Female,18,2,68,yes,yes,2,1,Sometimes,no,1,no,0,2,no,Public_Transportation,Overweight_Level_I
Female,18,2,76,yes,yes,3,3,Sometimes,no,2,no,1,1,Frequently,Public_Transportation,Overweight_Level_I
Female,18,2,76,yes,yes,3,3,Sometimes,no,2,no,1,1,Frequently,Public_Transportation,Overweight_Level_I
Female,20,2,65,no,yes,3,3,Sometimes,no,2,yes,0,1,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,89,yes,yes,2,1,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,22,2,89,yes,yes,2,2,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,21,2,80,yes,yes,2,3,Sometimes,no,2,no,2,1,no,Public_Transportation,Overweight_Level_II
Male,21,2,81,yes,yes,2,2,Sometimes,no,2,no,2,1,no,Public_Transportation,Overweight_Level_II
Male,33,2,101,yes,yes,2,2,Sometimes,no,2,no,1,0,Sometimes,Walking,Overweight_Level_II
Male,31,2,83,yes,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Automobile,Overweight_Level_II
Male,30,2,82,yes,yes,2,3,Sometimes,no,2,no,0,1,Sometimes,Automobile,Overweight_Level_II
Male,21,2,80,yes,yes,2,3,Sometimes,no,2,no,3,1,no,Public_Transportation,Overweight_Level_II
Male,23,2,80,yes,yes,2,3,Sometimes,no,2,no,0,2,no,Public_Transportation,Overweight_Level_II
Female,29,2,66,yes,no,2,2,Sometimes,no,2,no,2,2,Sometimes,Public_Transportation,Overweight_Level_II
Male,39,2,86,yes,yes,3,1,Sometimes,no,3,no,1,1,Sometimes,Automobile,Overweight_Level_II
Male,35,2,92,yes,yes,2,3,Sometimes,no,1,no,1,1,Sometimes,Automobile,Overweight_Level_II
Female,20,2,65,yes,no,2,3,Sometimes,no,2,no,2,1,no,Public_Transportation,Overweight_Level_II
Female,22,1,61,yes,no,2,3,Sometimes,no,1,no,0,1,no,Public_Transportation,Overweight_Level_II
Male,19,2,88,yes,yes,3,3,Sometimes,no,3,no,2,1,Sometimes,Public_Transportation,Overweight_Level_II
Female,21,2,70,yes,no,2,3,Sometimes,no,2,no,1,1,no,Public_Transportation,Overweight_Level_II
Female,21,2,68,yes,no,3,3,Sometimes,no,1,no,0,1,no,Public_Transportation,Overweight_Level_II
Male,22,2,90,yes,yes,2,2,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,2,90,yes,yes,2,2,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
Female,23,2,80,yes,yes,2,3,Sometimes,no,2,no,1,2,no,Public_Transportation,Overweight_Level_II
Female,23,2,80,yes,yes,2,2,Sometimes,no,1,no,1,2,no,Public_Transportation,Overweight_Level_II
Male,25,2,85,yes,yes,2,3,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,24,2,84,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_II
Female,25,2,78,yes,yes,3,3,Sometimes,no,3,no,1,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,31,2,91,yes,yes,2,3,Sometimes,no,1,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,24,2,81,yes,yes,2,3,Sometimes,no,3,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Female,29,2,78,yes,yes,3,3,Sometimes,no,2,no,2,1,Frequently,Automobile,Overweight_Level_II
Male,18,2,83,yes,no,2,3,Sometimes,no,2,no,1,1,no,Public_Transportation,Overweight_Level_II
Female,19,2,77,yes,yes,2,3,Sometimes,no,3,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,26,2,96,yes,yes,1,2,Sometimes,no,2,no,2,2,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,2,93,yes,yes,2,1,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,2,85,yes,yes,3,3,Sometimes,no,3,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,2,90,yes,yes,2,3,Sometimes,no,1,no,0,2,Sometimes,Public_Transportation,Overweight_Level_II
Female,25,2,81,yes,yes,3,3,Sometimes,no,2,no,1,1,Frequently,Public_Transportation,Overweight_Level_II
Male,34,2,84,yes,yes,2,2,Sometimes,no,2,no,1,0,no,Automobile,Overweight_Level_II
Female,27,2,79,yes,yes,2,3,Sometimes,no,2,no,0,0,Frequently,Public_Transportation,Overweight_Level_II
Male,55,2,80,no,yes,2,3,Sometimes,no,2,no,1,0,no,Automobile,Overweight_Level_II
Male,35,2,85,yes,yes,3,3,Sometimes,no,3,no,2,1,no,Automobile,Overweight_Level_II
Male,22,2,80,yes,yes,2,3,Sometimes,no,2,no,1,2,no,Public_Transportation,Overweight_Level_II
Male,18,2,80,yes,yes,3,2,Sometimes,no,2,no,1,1,no,Public_Transportation,Overweight_Level_II
Female,42,2,79,yes,yes,2,3,Sometimes,no,1,no,0,1,no,Automobile,Overweight_Level_II
Male,22,2,81,yes,yes,2,2,Sometimes,no,2,no,3,2,Sometimes,Public_Transportation,Overweight_Level_II
Female,29,2,65,yes,no,2,1,Sometimes,no,1,no,0,0,no,Public_Transportation,Overweight_Level_II
Female,25,2,65,yes,no,2,1,Sometimes,no,1,no,1,0,no,Public_Transportation,Overweight_Level_II
Female,22,2,64,yes,no,2,1,Sometimes,no,2,no,0,1,no,Public_Transportation,Overweight_Level_II
Female,23,2,65,yes,no,2,4,Sometimes,no,2,no,1,1,no,Public_Transportation,Overweight_Level_II
Male,23,2,81,yes,yes,2,3,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,2,82,yes,yes,2,2,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_II
Female,38,2,79,yes,yes,3,3,Sometimes,no,3,no,0,0,no,Automobile,Overweight_Level_II
Female,37,2,80,yes,yes,2,3,Sometimes,no,2,no,0,2,no,Automobile,Overweight_Level_II
Female,34,2,77,yes,yes,3,3,Sometimes,no,2,no,2,1,no,Automobile,Overweight_Level_II
Female,34,2,77,yes,yes,3,2,Sometimes,no,2,no,1,1,no,Automobile,Overweight_Level_II
Male,31,2,99,yes,yes,3,3,Sometimes,no,3,no,1,1,Sometimes,Automobile,Overweight_Level_II
Male,34,2,96,yes,yes,2,2,Sometimes,no,3,no,1,0,Sometimes,Automobile,Overweight_Level_II
Female,19,2,72,yes,no,3,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_II
Female,19,2,72,yes,no,3,4,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,20,2,78,yes,no,2,2,Sometimes,no,3,no,0,0,no,Public_Transportation,Overweight_Level_II
Male,51,2,82,yes,yes,2,3,Sometimes,no,2,no,1,0,no,Automobile,Overweight_Level_II
Male,18,2,85,yes,yes,2,3,Sometimes,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,18,2,85,yes,yes,3,3,Sometimes,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,19,2,81,yes,yes,3,1,Sometimes,no,2,no,2,1,Sometimes,Public_Transportation,Overweight_Level_II
